nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0067126	Katerina Bei	\N	\N	writer,actress,script_department	tt0374002,tt0318565,tt0221635,tt6250432	https://image.tmdb.org/t/p/{width_variable}/5cqSaEISpZEqarXE9ghrsnBtS9j.jpg
nm0438689	Karyofyllia Karabeti	1957	\N	actress	tt0159420,tt10710246,tt0245013,tt29644530	https://image.tmdb.org/t/p/{width_variable}/bVUQ8VtezdnbPCMAOmlK3Xbe3DK.jpg
nm0483440	Kostas Lambropoulos	\N	\N	producer,production_designer,actor	tt15843762,tt3737988,tt4974616,tt0357123
nm0660169	Dimitris Papadimitriou	1959	\N	composer,soundtrack,music_department	tt0217562,tt0289485,tt0292387,tt0254125
nm0698867	Maria Protopappa	\N	\N	actress	tt0373195,tt1708523,tt1111843,tt15162022	https://image.tmdb.org/t/p/{width_variable}/9EqF8dfYDwohRUq0UPrWSrReNmr.jpg
nm0759840	Dionyssis Samiotis	\N	\N	producer,miscellaneous,actor	tt10710246,tt1670715,tt11935566,tt1450666	https://image.tmdb.org/t/p/{width_variable}/bO2gpNd0pEofpOpkQ1kbKzw949w.jpg
nm1459616	Eva Nathena	\N	\N	costume_designer,set_decorator,art_director	tt1092029,tt1670715,tt29644530,tt4669210
nm2807502	Panagiotis Vasilakis	\N	\N	camera_department,cinematographer	tt9100054,tt2400283,tt3909336,tt1000779
nm3404155	Elena Topalidou	1975	\N	actress,writer	tt30498204,tt15747042,tt9070438,tt12063972	https://image.tmdb.org/t/p/{width_variable}/a5yZaeWGTghG9pZG9xhL0k41OhC.jpg
nm5236473	Penelope Tsilika	\N	\N	actress	tt3253650,tt10466346,tt14549466,tt10006160	https://image.tmdb.org/t/p/{width_variable}/fI9xFm5Uk6uCtLz65Fj8dERZqWx.jpg
