nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0000134	Robert De Niro	1943	\N	actor,producer,soundtrack	tt0101540,tt0075314,tt0077416,tt0081398	https://image.tmdb.org/t/p/{width_variable}/cT8htcckIuyI1Lqwt1CvD02ynTh.jpg
nm0001618	Joaquin Phoenix	1974	\N	actor,producer,writer	tt0172495,tt0358273,tt1560747,tt1798709	https://image.tmdb.org/t/p/{width_variable}/dD7hrRueEZmQgGWBp7pAOOt5gLV.jpg
nm0004170	Bob Kane	1915	1998	writer,miscellaneous,art_department	tt0096895,tt0372784,tt12361974,tt0468569	https://image.tmdb.org/t/p/{width_variable}/vuXwrlqaUydA4t5SFVdQkK9KsZL.jpg
nm0175814	Frances Conroy	1953	\N	actress,soundtrack	tt0338751,tt0248654,tt1179069,tt7286456	https://image.tmdb.org/t/p/{width_variable}/aJRQAkO24L6bH8qkkE5Iv1nA3gf.jpg
nm0177896	Bradley Cooper	1975	\N	actor,producer,soundtrack	tt1800241,tt1045658,tt2179136,tt1517451	https://image.tmdb.org/t/p/{width_variable}/lq68RaE8zK4lNaB49RWOukyorgn.jpg
nm0277730	Bill Finger	1914	1974	writer,miscellaneous	tt1877830,tt12361974,tt0439572,tt0974015	https://image.tmdb.org/t/p/{width_variable}/jxdEBHtODH7OFEYXYIaYZEhB5ak.jpg
nm0680846	Todd Phillips	1970	\N	producer,director,writer	tt1231583,tt0302886,tt7286456,tt0215129	https://image.tmdb.org/t/p/{width_variable}/A6FPht87DiqXzp456WjakLi2AtP.jpg
nm0798788	Scott Silver	\N	\N	writer,director,producer	tt7286456,tt0120757,tt0964517,tt0116714	https://image.tmdb.org/t/p/{width_variable}/33ZiBPOsV43eS9Di5VJ75f87y8c.jpg
nm1047603	Jerry Robinson	1922	2011	writer,miscellaneous,art_department	tt7286456,tt11315808,tt9398566,tt0468569	https://image.tmdb.org/t/p/{width_variable}/606OVQrzUFksbBERMiNxsm8MQtL.jpg
nm5939164	Zazie Beetz	1991	\N	actress,producer,soundtrack	tt4288182,tt7286456,tt10451852,tt5463162	https://image.tmdb.org/t/p/{width_variable}/sgxzT54GnvgeMnOZgpQQx9csAdd.jpg
