tconst	ordering	nconst	category	job	characters
tt7286456	10	nm0177896	producer	producer	\N
tt7286456	1	nm0001618	actor	\N	["Arthur Fleck"]
tt7286456	2	nm0000134	actor	\N	["Murray Franklin"]
tt7286456	3	nm5939164	actress	\N	["Sophie Dumond"]
tt7286456	4	nm0175814	actress	\N	["Penny Fleck"]
tt7286456	5	nm0680846	director	\N	\N
tt7286456	6	nm0798788	writer	written by	\N
tt7286456	7	nm0004170	writer	based on characters created by	\N
tt7286456	8	nm0277730	writer	based on characters created by	\N
tt7286456	9	nm1047603	writer	based on characters created by	\N
