tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	img_url_asset
tt0346328	tvSeries	Lucky Luke	Lucky Luke	0	1992	1992	50	Comedy,Western	https://image.tmdb.org/t/p/{width_variable}/i5b3EXnsKOWQb3P30hZukWNPr6d.jpg
tt0364151	tvSeries	American Masters	American Masters	0	1985	\N	90	Biography,Documentary,Music	https://image.tmdb.org/t/p/{width_variable}/n2PHBbRwNxaQGuqIW4Y5ulq0HQC.jpg
tt0401056	tvSeries	Il ricatto	Il ricatto	0	1988	\N	\N	Drama	https://image.tmdb.org/t/p/{width_variable}/xXdjixV5upNUM15fe5r9vSqoKoJ.jpg
tt0806901	tvSeries	Police Call 110	Polizeiruf 110	0	1971	\N	\N	Crime,Drama,Mystery	https://image.tmdb.org/t/p/{width_variable}/6ZZadTzWhvC6msfEm5G4F4IFgBY.jpg
tt0806910	tvSeries	Tatort	Tatort	0	1970	\N	90	Crime,Drama,Mystery	https://image.tmdb.org/t/p/{width_variable}/sqGAH4Koj0poDi65arOK14rTDVu.jpg
tt0809273	tvSeries	Haute tension	Haute tension	0	1988	1994	\N	Thriller
tt0815353	tvSeries	Cinéma, de notre temps	Cinéma, de notre temps	0	1989	\N	\N	Documentary
tt0846838	tvSeries	Schwarz Rot Gold	Schwarz Rot Gold	0	1982	1995	90	Crime	https://image.tmdb.org/t/p/{width_variable}/oOnMYwtgoCOr8qCfX4AHFAzImGT.jpg
tt0882736	tvSeries	Zwei Brüder	Zwei Brüder	0	1994	2001	90	Crime,Mystery	https://image.tmdb.org/t/p/{width_variable}/81Genv5dwBvvn2Pv2ZY1Wn4mXKi.jpg
tt0889258	tvSeries	Anwalt Abel	Anwalt Abel	0	1988	2001	90	Crime
tt0939820	tvSeries	Velmi uveritelné príbehy	Velmi uveritelné príbehy	0	1991	\N	\N	Crime,Drama,Horror
