nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0163974	Gloryette Clark	1934	2014	editor,writer,director	tt0086789,tt0071042,tt0072471,tt0063873	\N
nm0163990	Greydon Clark	1943	\N	director,actor,writer	tt0109545,tt0078778,tt0087258,tt0074214	https://image.tmdb.org/t/p/{width_variable}/hdw7lw4kTogVWnlDSvOUkyn7zUK.jpg
nm0164196	Lawrence Gordon Clark	1938	\N	director,producer,writer	tt0084053,tt0122339,tt0129669,tt0094611	https://image.tmdb.org/t/p/{width_variable}/kIw4PQjseVY5VSuCADgNYXYGimN.jpg
nm0164950	Philip L. Clarke	1938	2013	actor,producer,miscellaneous	tt0097757,tt0101414,tt0103639,tt0456931	https://image.tmdb.org/t/p/{width_variable}/lfCpXBpkHKOdtkXFBTwIvHh6xCx.jpg
nm0165235	Susan Claudia	\N	\N	writer	tt0094900,tt1787120	\N
nm0165965	Tom Clegg	1934	2016	director,camera_department,writer	tt0081144,tt12749392,tt0078351,tt0088133	https://image.tmdb.org/t/p/{width_variable}/7BHT2jkXr1Vzq5csNhGLabv6WuS.jpg
nm0165987	John Cleland	1710	1789	writer	tt0058088,tt0138433,tt0062958,tt0087237	\N
nm0166405	Gianfranco Clerici	1941	\N	writer,assistant_director,actor	tt0078935,tt0063537,tt0088100,tt0084719	\N
nm0167572	Sydney Coale	\N	\N	actress	tt0097004,tt0161457,tt0098127,tt0098749	https://image.tmdb.org/t/p/{width_variable}/qSRQjgBcWnAbBTaDUJRNJgHXznP.jpg
nm0167952	Roberto Cobo	1930	2002	actor,soundtrack,miscellaneous	tt0114485,tt0076336,tt0123051,tt0042804	https://image.tmdb.org/t/p/{width_variable}/aUDiMPbHJ8CkNVbm6C8y2OvqNKS.jpg
nm0167962	Germán Cobos	1927	2015	actor,miscellaneous	tt0450532,tt1035474,tt0060080,tt0057454	https://image.tmdb.org/t/p/{width_variable}/vl9F1tSoJ2jZFGX3GxWAMErcAeq.jpg
nm0169334	Didier Cohen	1952	\N	writer,miscellaneous	tt0809273,tt0090242,tt0261800,tt1175392	\N
nm0169540	Larry Cohen	1936	2019	writer,producer,director	tt0071675,tt0075930,tt0077756,tt0099026	https://image.tmdb.org/t/p/{width_variable}/5p1y0KKAVv5EK2XAfs9hsIMDiBq.jpg
nm0169785	Stanley Cohen	\N	\N	writer	tt0081145,tt0327909	\N
