tconst	ordering	nconst	category	job	characters
tt1130884	10	nm1103781	producer	producer	\N
tt1130884	1	nm0000138	actor	\N	["Teddy Daniels"]
tt1130884	2	nm0607865	actress	\N	["Rachel 1"]
tt1130884	3	nm0749263	actor	\N	["Chuck Aule"]
tt1130884	4	nm0001426	actor	\N	["Dr. Cawley"]
tt1130884	5	nm0000217	director	\N	\N
tt1130884	6	nm0436164	writer	screenplay	\N
tt1130884	7	nm1212331	writer	novel	\N
tt1130884	8	nm1329482	producer	producer	\N
tt1130884	9	nm0005219	producer	producer	\N
