tconst	ordering	nconst	category	job	characters
tt10872600	10	nm0270559	producer	producer	\N
tt10872600	1	nm4043618	actor	\N	["Peter Parker","Spider-Man"]
tt10872600	2	nm3918035	actress	\N	["MJ"]
tt10872600	3	nm1212722	actor	\N	["Doctor Strange"]
tt10872600	4	nm8188622	actor	\N	["Ned Leeds"]
tt10872600	5	nm1218281	director	\N	\N
tt10872600	6	nm0571344	writer	written by	\N
tt10872600	7	nm1273099	writer	written by	\N
tt10872600	8	nm0498278	writer	based on the Marvel comic book by	\N
tt10872600	9	nm0228492	writer	based on the Marvel comic book by	\N
