nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0228492	Steve Ditko	1927	2018	writer,miscellaneous	tt0316654,tt10872600,tt0145487,tt0948470	https://image.tmdb.org/t/p/{width_variable}/liZhKuugdqrSCYMzggzyhYRbfou.jpg
nm0270559	Kevin Feige	1973	\N	producer,miscellaneous,production_manager	tt2015381,tt10872600,tt4154796,tt1825683	https://image.tmdb.org/t/p/{width_variable}/kCBqXZ5PT5udYGEj2wfTSFbLMvT.jpg
nm0498278	Stan Lee	1922	2018	producer,writer,actor	tt3896198,tt1211837,tt2250912,tt1825683	https://image.tmdb.org/t/p/{width_variable}/kKeyWoFtTqOPsbmwylNHmuB3En9.jpg
nm0571344	Chris McKenna	\N	\N	producer,writer,miscellaneous	tt6320628,tt2250912,tt10872600,tt15326988
nm1212722	Benedict Cumberbatch	1976	\N	actor,producer,soundtrack	tt1170358,tt1322269,tt1408101,tt2084970	https://image.tmdb.org/t/p/{width_variable}/fBEucxECxGLKVHBznO0qHtCGiMO.jpg
nm1218281	Jon Watts	1981	\N	director,producer,writer	tt10872600,tt3813310,tt5645432,tt1717499	https://image.tmdb.org/t/p/{width_variable}/fkXChMX6CUXY1yOxBehAzvaTCl7.jpg
nm1273099	Erik Sommers	\N	\N	producer,writer,miscellaneous	tt5095030,tt2250912,tt10872600,tt6320628
nm3918035	Zendaya	1996	\N	actress,producer,sound_department	tt10872600,tt2250912,tt1485796,tt12676326	https://image.tmdb.org/t/p/{width_variable}/tpwzvhb9wbTn61ZtOENhycNgEsr.jpg
nm4043618	Tom Holland	1996	\N	actor,producer,director	tt1649419,tt6320628,tt2250912,tt3498820	https://image.tmdb.org/t/p/{width_variable}/yxYOaalFh8SUwNE5C0wzOwF89Ny.jpg
nm8188622	Jacob Batalon	1996	\N	actor,producer	tt2250912,tt4154756,tt10872600,tt6320628	https://image.tmdb.org/t/p/{width_variable}/53YhaL4xw4Sb1ssoHkeSSBaO29c.jpg
