tconst	ordering	nconst	category	job	characters
tt0137523	10	nm0513165	producer	producer	\N
tt0137523	1	nm0000093	actor	\N	["Tyler Durden"]
tt0137523	2	nm0001570	actor	\N	["Narrator"]
tt0137523	3	nm0001533	actor	\N	["Robert Paulsen"]
tt0137523	4	nm0340260	actor	\N	["Richard Chesler (Regional Manager)"]
tt0137523	5	nm0000399	director	\N	\N
tt0137523	6	nm0657333	writer	based on the novel by	\N
tt0137523	7	nm0880243	writer	screenplay by	\N
tt0137523	8	nm0068501	producer	producer	\N
tt0137523	9	nm0149556	producer	producer	\N
