nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0000093	Brad Pitt	1963	\N	producer,actor,soundtrack	tt0356910,tt1210166,tt0114746,tt0137523	https://image.tmdb.org/t/p/{width_variable}/cyWDj8CO7UeKyOnIY1Eu7KwADSO.jpg
nm0000399	David Fincher	1962	\N	producer,director,writer	tt0443706,tt1285016,tt0114369,tt2267998	https://image.tmdb.org/t/p/{width_variable}/yV36WTsLBAGyYVUQshNdI8hyk9l.jpg
nm0001533	Meat Loaf	1947	2022	music_artist,actor,soundtrack	tt0137523,tt0073629,tt0120185,tt0227984	https://image.tmdb.org/t/p/{width_variable}/7gKLR1u46OB8WJ6m06LemNBCMx6.jpg
nm0001570	Edward Norton	1969	\N	actor,producer,writer	tt0120586,tt0117381,tt0137523,tt2562232	https://image.tmdb.org/t/p/{width_variable}/5XBzD5WuTyVQZeS4VI25z2moMeY.jpg
nm0068501	Ross Grayson Bell	\N	\N	producer,miscellaneous,assistant_director	tt0137523,tt0164212,tt0100789,tt0167205
nm0149556	Ceán Chaffin	1957	\N	producer,cinematographer	tt0421715,tt0443706,tt2267998,tt1285016	https://image.tmdb.org/t/p/{width_variable}/rk8DPo1CAMTWL0YjRsMFIy3gRmT.jpg
nm0340260	Zach Grenier	\N	\N	actor,soundtrack	tt0348914,tt2249007,tt0137523,tt8134186	https://image.tmdb.org/t/p/{width_variable}/fSyQKZO39sUsqY283GXiScOg3Hi.jpg
nm0513165	Art Linson	1942	\N	producer,writer,director	tt0094226,tt0486674,tt0137523,tt0758758
nm0657333	Chuck Palahniuk	1962	\N	writer,actor,producer	tt4546372,tt0137523,tt1773686,tt1024715	https://image.tmdb.org/t/p/{width_variable}/r8WZhWea6RXCNO7HXvvB4lWYxzu.jpg
nm0880243	Jim Uhls	1957	\N	writer,producer,actor	tt2082453,tt0489099,tt4546514,tt0137523	https://image.tmdb.org/t/p/{width_variable}/uNkXdgsIdJF1xyj4BUSgHOfqjyb.jpg
