nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0000384	Danny Elfman	1953	\N	music_department,soundtrack,composer	tt0367594,tt0107688,tt0119654,tt0121164	https://image.tmdb.org/t/p/{width_variable}/bcpur9bF56nLxzFzZowipA2wZhy.jpg
nm0000600	Sam Raimi	1959	\N	producer,writer,actor	tt0145487,tt0099365,tt0083907,tt0106308	https://image.tmdb.org/t/p/{width_variable}/8gssvwiPrFRuFRlr5ruKx68k1Jl.jpg
nm0228492	Steve Ditko	1927	2018	writer,miscellaneous	tt0316654,tt10872600,tt0145487,tt0948470	https://image.tmdb.org/t/p/{width_variable}/liZhKuugdqrSCYMzggzyhYRbfou.jpg
nm0252230	Chiwetel Ejiofor	1977	\N	actor,soundtrack,director	tt0379786,tt7533152,tt2024544,tt0301199	https://image.tmdb.org/t/p/{width_variable}/kq5DDnqqofoRI0t6ddtRlsJnNPT.jpg
nm0270559	Kevin Feige	1973	\N	producer,miscellaneous,production_manager	tt2015381,tt10872600,tt4154796,tt1825683	https://image.tmdb.org/t/p/{width_variable}/kCBqXZ5PT5udYGEj2wfTSFbLMvT.jpg
nm0498278	Stan Lee	1922	2018	producer,writer,actor	tt3896198,tt1211837,tt2250912,tt1825683	https://image.tmdb.org/t/p/{width_variable}/kKeyWoFtTqOPsbmwylNHmuB3En9.jpg
nm0647634	Elizabeth Olsen	1989	\N	actress,producer,soundtrack	tt5362988,tt9419884,tt4154756,tt1441326	https://image.tmdb.org/t/p/{width_variable}/wIU675y4dofIDVuhaNWPizJNtep.jpg
nm0938950	Benedict Wong	1970	\N	actor,writer,producer	tt3659388,tt2798920,tt1211837,tt4154756	https://image.tmdb.org/t/p/{width_variable}/yYfLyrC2CE6vBWSJfkpuVKL2POM.jpg
nm1212722	Benedict Cumberbatch	1976	\N	actor,producer,soundtrack	tt1170358,tt1322269,tt1408101,tt2084970	https://image.tmdb.org/t/p/{width_variable}/fBEucxECxGLKVHBznO0qHtCGiMO.jpg
nm5642271	Michael Waldron	1987	\N	producer,writer,miscellaneous	tt2861424,tt9419884,tt9140554,tt10648342	https://image.tmdb.org/t/p/{width_variable}/5d6wkYnJgkVAzThqnnwOLNDzACM.jpg
