tconst	ordering	nconst	category	job	characters
tt9419884	10	nm0000384	composer	\N	\N
tt9419884	1	nm1212722	actor	\N	["Doctor Stephen Strange"]
tt9419884	2	nm0647634	actress	\N	["Wanda Maximoff","The Scarlet Witch"]
tt9419884	3	nm0252230	actor	\N	["Baron Mordo"]
tt9419884	4	nm0938950	actor	\N	["Wong"]
tt9419884	5	nm0000600	director	\N	\N
tt9419884	6	nm5642271	writer	written by	\N
tt9419884	7	nm0498278	writer	created by: Doctor Strange	\N
tt9419884	8	nm0228492	writer	created by: Doctor Strange	\N
tt9419884	9	nm0270559	producer	producer	\N
