nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0135847	Joseph M. Caracciolo Jr.	\N	\N	producer,production_manager,art_department	tt3315342,tt1160419,tt5433140,tt5884052
nm0272581	Rebecca Ferguson	1983	\N	actress,producer,soundtrack	tt4912910,tt2381249,tt1485796,tt1160419	https://image.tmdb.org/t/p/{width_variable}/lJloTOheuQSirSLXNA3JHsrMNfH.jpg
nm0378541	Frank Herbert	1920	1986	writer	tt0087182,tt3978046,tt1160419,tt10466872	https://image.tmdb.org/t/p/{width_variable}/1uE09gzcwXMjCfXZfXXwNDIHaXG.jpg
nm0744839	Eric Roth	1945	\N	producer,writer,miscellaneous	tt1160419,tt0421715,tt0140352,tt0109830	https://image.tmdb.org/t/p/{width_variable}/p61cF5pqC6cH6CgXQUuBpW6P2qa.jpg
nm0898288	Denis Villeneuve	1967	\N	director,writer,editor	tt1255953,tt1160419,tt1856101,tt2543164	https://image.tmdb.org/t/p/{width_variable}/zdDx9Xs93UIrJFWYApYR28J8M6b.jpg
nm1209966	Oscar Isaac	1979	\N	actor,producer,soundtrack	tt0470752,tt2937898,tt2527336,tt2042568	https://image.tmdb.org/t/p/{width_variable}/dW5U5yrIIPmMjRThR9KT2xH6nTz.jpg
nm1212547	Cale Boyter	\N	\N	producer,executive	tt0465602,tt1959490,tt1160419,tt0289879
nm3123612	Jon Spaihts	\N	\N	writer,producer,director	tt1355644,tt1211837,tt1446714	https://image.tmdb.org/t/p/{width_variable}/jzIwgRpEG2VXYHmIyk0vpb6S3TA.jpg
nm3154303	Timothée Chalamet	1995	\N	actor,soundtrack,producer	tt1226837,tt4925292,tt1160419,tt5726616	https://image.tmdb.org/t/p/{width_variable}/BE2sdjpgsa2rNTFa66f7upkaOP.jpg
nm3918035	Zendaya	1996	\N	actress,producer,sound_department	tt10872600,tt2250912,tt1485796,tt12676326	https://image.tmdb.org/t/p/{width_variable}/tpwzvhb9wbTn61ZtOENhycNgEsr.jpg
