tconst	ordering	nconst	category	job	characters
tt1517268	10	nm1053148	composer	\N	\N
tt1517268	1	nm3053338	actress	\N	["Barbie"]
tt1517268	2	nm0331516	actor	\N	["Ken"]
tt1517268	3	nm4793987	actress	\N	["Barbie"]
tt1517268	4	nm0571952	actress	\N	["Barbie"]
tt1517268	5	nm1950086	director	\N	\N
tt1517268	6	nm0000876	writer	written by	\N
tt1517268	7	nm3943537	producer	producer	\N
tt1517268	8	nm0107509	producer	producer	\N
tt1517268	9	nm0382268	producer	producer	\N
